stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel
4,59,0,530.8042722145009,0.524711171621245,0.344138077681501,0.655861922318498,261.1515715134997,497.70537704885766,113.95958372448851,7.69933202491392,48.30400189769156,-10.0,2021-01-13T12:26:18Z,2021-01-13T07:23:18Z,4,1
4,14,0,521.4516766993166,0.5365567360415591,0.34919422332807803,0.6508057766719211,377.0462538110532,702.7146031055487,115.78190033266812,7.806025260726154,41.721628645808785,-10.0,2021-01-13T12:27:18Z,2021-01-13T07:23:48Z,0,1
4,16,0,528.302479217881,0.39342951415084804,0.28234618985417603,0.7176538101458231,208.06821288441262,528.8576616665202,114.12482588777439,8.901197224361107,37.58529171596291,-10.0,2021-01-13T12:28:18Z,2021-01-13T07:24:18Z,0,1
4,44,0,527.2567388121984,0.37780352344948903,0.27420711082492705,0.725792889175072,103.24419205991632,273.2748258069638,114.28670115878325,8.384336502483471,35.458791443003086,-10.0,2021-01-13T12:29:18Z,2021-01-13T07:24:48Z,0,1
3,7,0,521.1720389279089,0.5532375611834051,0.356183480884853,0.643816519115146,100.08921923000268,180.91544438144504,115.5173208905472,7.121504647820085,31.34932232021677,521.1720389279089,2021-01-13T12:30:18Z,2021-01-13T07:25:18Z,0,1
4,19,0,538.2916623307063,0.7288994082232241,0.42159734959497003,0.578402650405029,119.07310554227868,163.36013474415205,111.96645683147617,7.101163283496051,37.11735651234354,-10.0,2021-01-13T12:31:18Z,2021-01-13T07:25:48Z,0,1
4,55,0,545.5567845236124,0.409397133757645,0.290476774751298,0.709523225248701,254.7872390032934,622.3473932627044,110.6579627989525,7.66580846126657,44.23843871071755,-10.0,2021-01-13T12:32:18Z,2021-01-13T07:26:18Z,0,1
4,43,0,559.7012477810624,0.610678351894637,0.379143577099858,0.6208564229001411,641.5475613678287,1050.549048246789,108.0075029463889,5.8883770206637545,49.088312222390215,-10.0,2021-01-13T12:33:18Z,2021-01-13T07:26:48Z,0,1
2,1,0,581.1244496795648,0.9116888394572751,0.47690231832713004,0.52309768167287,337.92860546103657,370.6622159181021,103.74417118134667,6.148839245830064,40.33590184251381,581.1244496795648,2021-01-13T12:34:18Z,2021-01-13T07:27:18Z,0,1
4,33,0,596.8325799106819,1.2549299505716731,0.5565272438966541,0.443472756103345,279.40497584639695,222.64587415346662,100.99828683563105,5.521084447321378,40.71613940485214,-10.0,2021-01-13T12:35:18Z,2021-01-13T07:27:48Z,4,1
